         34239140 function calls (34182977 primitive calls) in 12.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2495    0.001    0.000    0.010    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3485(_attacked_for_king)
    80973    0.010    0.000    0.010    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:154(square_file)
    28675    0.010    0.000    0.010    0.000 {built-in method builtins.min}
    29447    0.009    0.000    0.009    0.000 {built-in method builtins.max}
     6412    0.006    0.000    0.008    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/transposition_table.py:49(insert_node)
     6230    0.002    0.000    0.008    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3486(<genexpr>)
    56203    0.008    0.000    0.008    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/game_data.py:27(zobrist_hash)
    56204    0.007    0.000    0.007    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/minmax_ab_tt_id.py:28(is_still_pv_line)
    48107    0.006    0.000    0.006    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/game_data.py:93(get_sign)
    56203    0.006    0.000    0.006    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:55(h)
    40493    0.005    0.000    0.005    0.000 {built-in method builtins.abs}
    13440    0.005    0.000    0.005    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:299(shift_left)
    13440    0.005    0.000    0.005    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:293(shift_right)
     8002    0.002    0.000    0.002    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:287(shift_up)
    13220    0.002    0.000    0.002    0.000 {method 'clear' of 'list' objects}
     2861    0.001    0.000    0.002    0.000 <string>:1(__new__)
     6412    0.002    0.000    0.002    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/transposition_table.py:8(kind_to_int)
    13220    0.002    0.000    0.002    0.000 {method 'extend' of 'list' objects}
     6412    0.001    0.000    0.001    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:46(inc_nodes_saved)
     5438    0.001    0.000    0.001    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:281(shift_down)
     5299    0.001    0.000    0.001    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:396(ray)
     2764    0.001    0.000    0.001    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:26(inc_alpha_cut_off)
     2861    0.001    0.000    0.001    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/transposition_table.py:17(int_to_kind)
     2092    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:29(inc_beta_cut_off)
