         37554489 function calls (37513200 primitive calls) in 12.001 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    41329    0.004    0.000    0.004    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/zobrist_hash.py:54(h)
    34790    0.004    0.000    0.004    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/game_data.py:61(get_sign)
      804    0.001    0.000    0.004    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3485(_attacked_for_king)
    10298    0.003    0.000    0.003    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:299(shift_left)
    10298    0.003    0.000    0.003    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:293(shift_right)
    22464    0.003    0.000    0.003    0.000 {built-in method builtins.abs}
     2008    0.001    0.000    0.003    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3486(<genexpr>)
     7460    0.002    0.000    0.002    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:287(shift_up)
    10000    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
     2261    0.001    0.000    0.001    0.000 <string>:1(__new__)
     5191    0.001    0.000    0.001    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/transposition_table.py:8(kind_to_int)
    10000    0.001    0.000    0.001    0.000 {method 'clear' of 'list' objects}
     5191    0.001    0.000    0.001    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:46(inc_nodes_saved)
     1751    0.001    0.000    0.001    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:29(inc_beta_cut_off)
     2838    0.001    0.000    0.001    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:281(shift_down)
     3417    0.001    0.000    0.001    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:396(ray)
     2310    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:26(inc_alpha_cut_off)
     2261    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/transposition_table.py:17(int_to_kind)
     1233    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:16(inc_hits_alpha)
     1284    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:32(inc_stored_cut_off)
     2178    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:2109(_push_capture)
       12    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/minmax_ab_tt_id.py:39(swap_move_to_front)
      364    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:19(inc_hits_beta)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      131    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:478(uci)
       12    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:750(pin_mask)
       12    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:3368(_ep_skewered)
       62    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:13(inc_hits_exact)
        9    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/envir/lib/python3.8/site-packages/chess/__init__.py:505(__str__)
        9    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        2    0.000    0.000    0.000    0.000 /home/sideproject/dev/chess-bot/chess-bot/engines/search_stats.py:9(set_depth)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


